가	G A
듣기가	D EU t GG I G A
듣기에서부터	D EU t GG I E S EO B U Th EO
듣기와	D EU t GG I oA
들면	D EU L M iEO N
들어요	D EU R EO iO
들었는데	DD EU R EO N N EU N D E
들으면	D EU R EU M iEO N
등록금에	D EU NG N O k GG EU M E
따뜻하지요	DD A DD EU Th A J I iO
따라서	DD A R A S EO
딱	DD A k
때문에 DD AE M U N E
때문이다	DD AE M U N I D A
또	DD O
뛰어서	DD UE EO S EO
뛴다	DD UE N D A
라면	R A M iEO N
라면이	R A M iEO N I
마음에	M A EU M E
막	M A k
막혀	M A Kh iEO
막히나	M A Kh I N A
만드는	M A N D EU N EU N
많고	M A N Kh O
많은  M A N EU N
많을	M A N EU L
많이	M A N I
맏이	M A J I
말씀을	M A L SS EU M EU L
말씀해	M A L SS EU M H AE
말을	M A R EU L
말하기와	M A L H A G I oA
말하는  M A R A N EU N
말해	M A L H AE
맛있다	M A S I DD A
맥락	M AE NG N A k
머리카락을	M EO R I Kh A R A G EU L
먹던	M EO k DD EO N
먹어라	M EO G EO R A
먹어요	M EO G EO iO
먹었어요	M EO G EO SS EO iO
먹을걸	M EO G EU L GG EO L
먼저	M EO N J EO
며칠	M iEO CHh I L
명이에요	M iEO NG I E iO
몇	M iEO N
몇	M iEO t
모국어인  M O G U G EO I N
모두	M O D U
몰랐는데	M O L R A N N EU N D E
못	M O t
못하겠습니다	M O Th A G E t SS EU M N I D A
못하지만	M O Th A J I M A N
못한다면	M O Th A N D A M iEO N
무늬	M U N I
무릎	M U R EU p
무슨	M U S EU N
무엇인지	M U EO S I N J I
문	M U N
문안	M U N A N
문을	M U N EU L
문화에	M U N H oA E
물이	M U R I
물하고	M U L H A G O
뭐라고	M uEO R A G O
뭔지	M uEO N J I
미리	M I R I
미안	M I A N
바꾸는  B A GG U N EU N
바꾸다	B A GG U D A
바다의	B A D A euI
바람	B A R A M
바람직하지	B A R A M J I Kh A J I
바랍니다	B A R A M N I D A
바쁘다	B A BB EU D A
바퀴	B A Kh UE
밖은	B A GG EU N
반찬	B A N CHh A N
받았다	B A D A DD A
발	B A L
발등	B A L DD EU NG
밥	B A p
방송	B A NG S O NG
방식이야  B A NG S I G I iA
방에서	B A NG E S EO
배고파요	B AE G O Ph A iO
배우는  B AE U N EU N
배운다는  B AE U N D A N EU N
백점	B AE k JJ EO M
백화점을	B AE Kh oA J EO M EU L
법원	B EO B uEO N
벽에	B iEO G E
별일	B iEO L R I L
병원	B iEO NG uEO N
보니	B O N I
보라색	B O R A S AE k
보면서  B O M iEO N S EO
보셨어요	BB O S iEO SS EO iO
보자기	B O J A G I
보통	B O Th O NG
볼게요	B O L GG E iO
봄	B O M
봐	B oA
봐요	B oA iO
봤는데	B oA N N EU N D E
부는	B U N EU N
부럽지	B U R EO p JJ I
부모님	B U M O N I M
부부	B U B U
부엌	B U EO k
부엌에	B U EO Kh E
분	BB U N
분에	B U N E
분위기가	B U N UE G I G A
분이	BB U N I
불만이	B U L M A N I
불부터	B U L B U Th EO
불을	B U R EU L
붙어	B U Th EO
붙이세요	B U CHh I S E iO
비빔밥	B I B I M BB A p
빌려줄	B I L R iEO J U L
빛을	B I CHh EU L
빠를수록	BB A R EU L SS U R O k
빠졌네요	BB A J EO N N E iO
빨간색	BB A L G A N S AE k
빨래	BB A L R AE
빨리	BB A L R I
빵	BB A NG
뿌리	BB U R I
사고  S A G O
사과	S A G oA
사귀고 S A G UE G O
사람들과  S A R A M D EU L G oA
사람이	S A R A M I
사랑한다	S A R A NG H A N D A
사러	S A R EO
사용하는	S A iO NG H A N EU N
사용하지  S A iO NG H A J I
사의	S A euI
사진을	S A J I N EU L
살이	S A R I
삼십	S A M S I p
상금	S A NG G EU M
새	S AE
새로	S AE R O
새로운  S AE R O U N
색깔을	S AE k GG A R EU L
색을	S AE G EU L
색종이	S AE k JJ O NG I
생각	S AE NG G A NG
생각에는  S AE NG G A G E N EU N
생각이나  S AE NG G A G I N A
생각하고	S AE NG G A Kh A G O
생각한다	S AE NG G A Kh A N D A
생각해 S AE NG G A Kh E
생긴	S AE NG G I N
생활에서  S AE NG H oA R E S EO
생활이	S AE NG H oA R I
서둘렀을	S EO D U L R EO SS EU L
선생님이	S EO N S AE NG N I M I
성장했습니다	S EO NG J A NG H AE SS EU M N I D A
세수	S E S U
소리	S O R I
소리를	S O R I R EU L
소리를	SS O R I R EU L
수	SS U
수고하다	S U G O H A D A
수도  SS U D O
수리	S U R I
수업	S U EO p
수업료가	S U EO M N iO G A
수업에	S U EO B E
수업은	S U EO B EU N
수업이	S U EO B I
쉬다	S UE D A
쉴	S UE L
쉽지	S UE p JJ I
시	SS I
시계	S I G iE
시까지	SS I GG A J I
시냇물	S I N AE N M U L
시에	SS I E
시작한다고	S I J A Kh A N D A G O
시작해요	S I J A Kh AE iO
시장에	S I J A NG E
시험	S I H EO M
식당에	S I k DD A NG E
신고	S I N GG O
실내	S I L R AE
실력	S I L R iEO k
실수하지	S I L SS U H A J I
실제  S I L JJ E
실제로 S I L JJ E R O
십만	S I M M A N
싱싱하다	S I NG S I NG H A D A
싶다	S I p DD A
싶습니다	S I p SS EU M N I D A
싸다	SS A D A
써	SS EO
쏙	SS O k
쏟아요	SS O D A iO
쓰기	SS EU G I
아니야	A N I iA
아름다운	A R EU M D A U N
아버지와	A B EO J I oA
아세요	A S E iO
아이스크림	A I S EU Kh EU R I M
아주	A J U
아직	A J I k
아직도	A J I k DD O
아침을	A CHh I M EU L
아침의	A CHh I M euI
아홉	A H O p
안	A N
안녕하세요	A N N iEO NG H A S E iO
앉고	A N GG O
앉아서	A N J A S EO
않겠지만	A N Kh E t JJ I M A N
않으셨어요	A N EU S iEO SS EO iO
않을	A N EU L
않을까	A N EU L GG A
알았다면	A R A DD A M iEO N
앓더니	A L Th EO N I
야구	iA G U
약국	iA k GG U k
얘기를 iE G I R EU L
어디	EO D I
어디로	EO D I R O
어디에서	EO D I E S EO
어때요	EO DD AE iO
어떡하죠	EO DD EO Kh A J iO
어떤	EO DD EO N
어떻게	EO DD EO Kh E
어머니	EO M EO N I
언니	EO N N I
언제든지	EO N J E D EU N J I
얼굴	EO L G U L
얼굴이	EO L G U R I
업무에	EO M M U E
없다	EO p DD A
없었어요	EO p SS EO SS EO iO
없으면	EO p SS EU M iEO N
없을까요	EO p SS EU L GG A iO
여권	iEO GG uEO N
여기	iEO G I
여기까지	iEO G I GG A J I
여덟	iEO D EO L
여러분	iEO R EO B U N
여러분과	iEO R EO B U N G oA
열렸네요	iEO L R iEO N N E iO
열심히	iEO L SS I M H I
열었어요	N iEO R EO SS EO iO
염증	iEO M JJ EU NG
영어	iEO NG EO
영어를  iEO NG EO R EU L
영역이	iEO NG iEO G I
예전	iE J EO N
예정이십니까	iE J EO NG I S I M N I GG A
옛날	iE N N A L
오	O
오늘	O N EU L
오늘은	O N EU R EU N
오래된	O R AE D OE N
오면	O M iEO N
오세요	O S E iO
오셨어요	O S iEO SS EO iO
오십	O S I p
오전	O J EO N
옷이라고	O S I R A G O
와서	oA S EO
와야	oA iA
왔습니다	oA SS EU M N I D A
왔어요	oA SS EO iO
왜	O AE
왜냐하면  O AE N iA H A M iEO N
외국	OE G U k
외국어는  OE G U G EO N EU N
용돈은	iO NG DD O N EU N
우리	U R I
우리가	U R I G A
우리나라	U R I N A R A
운동화를	U N D O NG H oA R EU L
원만	uEO N M A N
웬	U E N
웬일로	U E N N I L R O
위	UE
위에	UE E
위해	UE H AE
유치원	iU CHh I uEO N
은행	EU N H AE NG
은행이	EU N H AE NG I
음료수하고	EU M N iO S U H A G O
음식	EU M S I NG
음식과	EU M S I k GG oA
의견란에	euI G iEO N N A N E
의견이	euI G iEO N I
의사	euI S A
의사소통	euI S A S O Th O NG
의사소통은	euI S A S O Th O NG EU N
의사소통을	euI S A S O Th O NG EU L
의자	euI J A
이	I
이거	I G EO
이것	I G EO t
이게	I G E
이따	I DD A
이런	I R EO N
이렇게	I R EO Kh E
이른	I R EU N
이름이	I R EU M I
이번엔	I B EO N E N
이야기	I iA G I
이어나가는	I EO N A G A N EU N
이의	I euI
이해	I H AE
이해하기	I H AE H A G I
이해해야	I H AE H AE iA
인류	I L R iU
인정된	I N J EO NG D OE N
일	I L
일	N I L
일곱	I L G O p
일대일로  I L DD AE I L R O
일본	I L B O N
일어나서	I R EO N A S EO
일요일이	I R iO I R I
일을	N I R EU L
일이라면	N I R I R A M iEO N
일찍	I L JJ I k
읽기	I L GG I
입	I p
입고	I p GG O
입구	I p GG U
있구나	I GG U N A
있기	I GG I
있다  I DD A
있다고 I DD A G O
있도록	I DD O R O k
있습니다	I SS EU M N I D A
있어요	I SS EO iO
있었어요	I SS EO SS EO iO
있으면	I SS EU M iEO N
있으시면	I SS EU S I M iEO N
있을	I SS EU L
자리	J A R I
자연스럽게	J A iEO N S EU R EO p GG E
자주색	J A J U S AE k
작년	J A NG N iEO N
잘	J A L
재미있을	J AE M I I SS EU L
저는	J EO N EU N
저렇게	J EO R EO Kh E
저희	J EO H I
적합한	J EO Kh A Ph A N
전	J EO N
전에	J EO N E
전통을	J EO N Th O NG EU L
전할	J EO N H A L
전화할게	J EO N H oA H A L GG E
절대로	J EO L DD AE R O
젊고	J EO M GG O
접수	J EO p SS U
젓가락	J EO t GG A R A k
정도로	JJ EO NG D O R O
정말	J EO NG M A L
제가	J E G A
조금이지	J O G EU M I J I
조사	J O S A
좀	J O M
좀	JJ O M
종로	J O NG N O
좋겠네요	J O Kh E N N E iO
좋겠어요	J O Kh E SS EO iO
좋다	J O Th A
좋던데요	J O Th EO N D E iO
좋습니다	J O SS EU M N I D A
좋아  J O A
좋아요	J O A iO
좋아하며	J O A H A M iEO
좋아하세요	J O A H A S E iO
좋아한다	J O A H A N D A
좋으니까  J O EU N I GG A
좋은	J O EU N
좋은데	J O EU N D E
좋을까요	J O EU L GG A iO
좋지	J O CHh I
좌석	J oA S EO k
죄송하지만	J OE S O NG H A J I M A N
죄송해서	J OE S O NG H AE S EO
주말에	J U M A R E
주세요	J U S E iO
주시겠어요	J U S I G E SS EO iO
주시기	J U S I G I
주시면	J U S I M iEO N
주시지	J U S I J I
주신	J U S I N
주장하고	J U J A NG H A G O
줄	JJ U L
줄넘기	J U L R EO M GG I
줄리앙이라고	J U L R I A NG I R A G O
중국	J U NG G U k
중에서	J U NG E S EO
중요  J U NG iO
중요하고	J U NG iO H A G O
중요하지만 J U NG iO H A J I M A N
중요할까	J U NG iO H A L GG A
즐겁네요	J EU L G EO M N E iO
즐긴다	J EU L G I N D A
지갑이	J I G A B I
지금	J I G EU M
지하철	J I H A CHh EO L
지하철역까지	J I H A CHh EO L R iEO k GG A J I
지하철역에	J I H A CHh EO L R iEO G E
직장이	J I k JJ A NG I
직접	J I k JJ EO p
진정한	J I N J EO NG H A N
진짜	J I N JJ A
질문	J I L M U N
집에	J I B E
집에서	J I B E S EO
집집마다	J I p JJ I M M A D A
짓누르다	J I N N U R EU D A
짓이다	J I S I D A
짜요	JJ A iO
찌다	JJ I D A
찍어야	JJ I G EO iA
찍으면	JJ I G EU M iEO N
차이점이	CHh A I JJ EO M I
참	CHh A M
창문이	CHh A NG M U N I
찾아주셔서	CHh A J A J U S iEO S EO
채소	CHh AE S O
책상	CHh AE k SS A NG
책으로만  CHh AE G EU R O M A N
책임이야	CHh AE G I M I iA
체계라고  CHh E G iE R A G O
친구	CHh I N G U
친구들 CHh I N G U D EU L
친구들을  CHh I N G U D EU R EU L
침대	CHh I M D AE
켤레	Kh iEO L R E
키	Kh I
타고	Th A G O
타요	Th A iO
텐데요	Th E N D E iO
퇴근	Th OE G EU N
퇴근시간이라서	Th OE G EU N S I G A N I R A S EO
퇴근하지	Th OE G EU N H A J I
특히	Th EU Kh I
티비  Th I B I
파도	Ph A D O
파악하지	Ph A A Kh A J I
팔팔	Ph A L Ph A L
편지	Ph iEO N J I
편한	Ph iEO N H A N
포함돼요	Ph O H A M D O AE iO
폭발	Ph O k BB A L
표현	Ph iO H iEO N
풀	Ph U L
프랑스에서	Ph EU R A NG S EU E S EO
프로그램을  Ph EU R O G EU R AE M EU L
하겠어요	H A G E SS EO iO
하는	H A N EU N
하늘을	H A N EU R EU L
하루만	H A R U M A N
하셨어요	H A S iEO SS EO iO
하실	H A S I L
학교까지	H A k GG iO GG A J I
학교에	H A k GG iO E
학자의	H A k JJ A euI
한	H A N
한국	H A N G U k
한국말을	H A N G U NG M A R EU L
한국어	H A N G U G EO
한국어를	H A N G U G EO R EU L
한번	H A N B EO N
합니다	H A M N I D A
합법적으로	H A p BB EO p JJ EO G EU R O
항상	H A NG S A NG
해	H AE
해결을	H AE G iEO R EU L
해도	H AE D O
해돋이	H AE D O J I
해봐  H AE B oA
핵심이	H AE k SS I M I
했구나	H AE t GG U N A
했는지	H AE N N EU N J I
향상에  H iA NG S A NG E
허리	H EO R I
혼자	H O N J A
화가	H oA G A
회의	H OE euI
후추	H U CHh U
흐르는	H EU R EU N EU N
흔들다	H EU N D EU L D A
흙마루	H EU NG M A R U
희끗희끗한	H I GG EU Th I GG EU Th A N
희망	H I M A NG
힘든	H I M D EU N
힘들	H I M D EU L
힘들었어요	H I M D EU R EO SS EO iO
