이번엔 ㅇㅣㅂㅓㄴㅇㅔㄴ
죄송하지만 ㅈㅚㅅㅗㅇㅎㅏㅈㅣㅁㅏㄴ
한 ㅎㅏㄴ
많고 ㅁㅏㄶㄱㅗ
먹어라 ㅁㅓㄱㅇㅓㄹㅏ
나세요 ㄴㅏㅅㅔㅇㅛ
사의 ㅅㅏㅇㅢ
아직 ㅇㅏㅈㅣㄱ
싶습니다 ㅅㅣㅍㅅㅡㅂㄴㅣㄷㅏ
국제선 ㄱㅜㄱㅈㅔㅅㅓㄴ
오면 ㅇㅗㅁㅕㄴ
시장에 ㅅㅣㅈㅏㅇㅇㅔ
못한다면 ㅁㅗㅅㅎㅏㄴㄷㅏㅁㅕㄴ
입구 ㅇㅣㅂㄱㅜ
결정은 ㄱㅕㄹㅈㅓㅇㅇㅡㄴ
어떡하죠 ㅇㅓㄸㅓㄱㅎㅏㅈㅛ
일이라면 ㅇㅣㄹㅇㅣㄹㅏㅁㅕㄴ
먼저 ㅁㅓㄴㅈㅓ
부엌 ㅂㅜㅇㅓㅋ
늦게 ㄴㅡㅈㄱㅔ
들면 ㄷㅡㄹㅁㅕㄴ
인류 ㅇㅣㄴㄹㅠ
끝이 ㄲㅡㅌㅇㅣ
끄고 ㄲㅡㄱㅗ
분위기가 ㅂㅜㄴㅇㅟㄱㅣㄱㅏ
뿌리 ㅃㅜㄹㅣ
물이 ㅁㅜㄹㅇㅣ
물하고 ㅁㅜㄹㅎㅏㄱㅗ
열심히 ㅇㅕㄹㅅㅣㅁㅎㅣ
같은 ㄱㅏㅌㅇㅡㄴ
권력과 ㄱㅝㄴㄹㅕㄱㄱㅘ
어디로 ㅇㅓㄷㅣㄹㅗ
대단하네요 ㄷㅐㄷㅏㄴㅎㅏㄴㅔㅇㅛ
시에 ㅅㅣㅇㅔ
실내 ㅅㅣㄹㄴㅐ
퇴근하지 ㅌㅚㄱㅡㄴㅎㅏㅈㅣ
배고파요 ㅂㅐㄱㅗㅍㅏㅇㅛ
말씀해 ㅁㅏㄹㅆㅡㅁㅎㅐ
수업료가 ㅅㅜㅇㅓㅂㄹㅛㄱㅏ
의사 ㅇㅢㅅㅏ
궁리 ㄱㅜㅇㄹㅣ
전에 ㅈㅓㄴㅇㅔ
어머니 ㅇㅓㅁㅓㄴㅣ
이어나가는 ㅇㅣㅇㅓㄴㅏㄱㅏㄴㅡㄴ
꽃 ㄲㅗㅊ
오늘 ㅇㅗㄴㅡㄹ
근로자 ㄱㅡㄴㄹㅗㅈㅏ
당장 ㄷㅏㅇㅈㅏㅇ
창문이 ㅊㅏㅇㅁㅜㄴㅇㅣ
적합한 ㅈㅓㄱㅎㅏㅂㅎㅏㄴ
짓누르다 ㅈㅣㅅㄴㅜㄹㅡㄷㅏ
새로 ㅅㅐㄹㅗ
기다리다 ㄱㅣㄷㅏㄹㅣㄷㅏ
후추 ㅎㅜㅊㅜ
달콤한 ㄷㅏㄹㅋㅗㅁㅎㅏㄴ
앓더니 ㅇㅏㅀㄷㅓㄴㅣ
이것 ㅇㅣㄱㅓㅅ
사용하는 ㅅㅏㅇㅛㅇㅎㅏㄴㅡㄴ
키 ㅋㅣ
지금 ㅈㅣㄱㅡㅁ
침대 ㅊㅣㅁㄷㅐ
흙마루 ㅎㅡㄺㅁㅏㄹㅜ
막혀 ㅁㅏㄱㅎㅕ
내 ㄴㅐ
사과 ㅅㅏㄱㅘ
있으시면 ㅇㅣㅆㅇㅡㅅㅣㅁㅕㄴ
빨래 ㅃㅏㄹㄹㅐ
가만히 ㄱㅏㅁㅏㄴㅎㅣ
그 ㄱㅡ
뭐라고 ㅁㅝㄹㅏㄱㅗ
하루만 ㅎㅏㄹㅜㅁㅏㄴ
백화점을 ㅂㅐㄱㅎㅘㅈㅓㅁㅇㅡㄹ
입고 ㅇㅣㅂㄱㅗ
갖다 ㄱㅏㅈㄷㅏ
좀 ㅈㅗㅁ
밖은 ㅂㅏㄲㅇㅡㄴ
빵 ㅃㅏㅇ
닮았어요 ㄷㅏㄻㅇㅏㅆㅇㅓㅇㅛ
벽에 ㅂㅕㄱㅇㅔ
무엇인지 ㅁㅜㅇㅓㅅㅇㅣㄴㅈㅣ
싱싱하다 ㅅㅣㅇㅅㅣㅇㅎㅏㄷㅏ
녹기 ㄴㅗㄱㄱㅣ
문을 ㅁㅜㄴㅇㅡㄹ
라면이 ㄹㅏㅁㅕㄴㅇㅣ
얼굴이 ㅇㅓㄹㄱㅜㄹㅇㅣ
몇 ㅁㅕㅊ
니 ㄴㅣ
이야기 ㅇㅣㅇㅑㄱㅣ
딱 ㄸㅏㄱ
반찬 ㅂㅏㄴㅊㅏㄴ
글씨 ㄱㅡㄹㅆㅣ
지하철 ㅈㅣㅎㅏㅊㅓㄹ
비빔밥 ㅂㅣㅂㅣㅁㅂㅏㅂ
힘든 ㅎㅣㅁㄷㅡㄴ
닫히다 ㄷㅏㄷㅎㅣㄷㅏ
공항과 ㄱㅗㅇㅎㅏㅇㄱㅘ
것을 ㄱㅓㅅㅇㅡㄹ
수고하다 ㅅㅜㄱㅗㅎㅏㄷㅏ
채소 ㅊㅐㅅㅗ
볼게요 ㅂㅗㄹㄱㅔㅇㅛ
차이점이 ㅊㅏㅇㅣㅈㅓㅁㅇㅣ
불만이 ㅂㅜㄹㅁㅏㄴㅇㅣ
먹던 ㅁㅓㄱㄷㅓㄴ
있으면 ㅇㅣㅆㅇㅡㅁㅕㄴ
나뭇잎 ㄴㅏㅁㅜㅅㅇㅣㅍ
될까요 ㄷㅚㄹㄲㅏㅇㅛ
하겠어요 ㅎㅏㄱㅔㅆㅇㅓㅇㅛ
짓이다 ㅈㅣㅅㅇㅣㄷㅏ
이거 ㅇㅣㄱㅓ
직장이 ㅈㅣㄱㅈㅏㅇㅇㅣ
업무에 ㅇㅓㅂㅁㅜㅇㅔ
구하다 ㄱㅜㅎㅏㄷㅏ
사러 ㅅㅏㄹㅓ
자리 ㅈㅏㄹㅣ
꽃을 ㄲㅗㅊㅇㅡㄹ
야구 ㅇㅑㄱㅜ
인정된 ㅇㅣㄴㅈㅓㅇㄷㅚㄴ
교육열 ㄱㅛㅇㅠㄱㅇㅕㄹ
끕시다 ㄲㅡㅂㅅㅣㄷㅏ
다 ㄷㅏ
괜찮다 ㄱㅙㄴㅊㅏㄶㄷㅏ
종로 ㅈㅗㅇㄹㅗ
어때요 ㅇㅓㄸㅐㅇㅛ
한국어 ㅎㅏㄴㄱㅜㄱㅇㅓ
편지 ㅍㅕㄴㅈㅣ
없으면 ㅇㅓㅄㅇㅡㅁㅕㄴ
상금 ㅅㅏㅇㄱㅡㅁ
라면 ㄹㅏㅁㅕㄴ
식당에 ㅅㅣㄱㄷㅏㅇㅇㅔ
성장했습니다 ㅅㅓㅇㅈㅏㅇㅎㅐㅆㅅㅡㅂㄴㅣㄷㅏ
핵심이 ㅎㅐㄱㅅㅣㅁㅇㅣ
좋아하세요 ㅈㅗㅎㅇㅏㅎㅏㅅㅔㅇㅛ
되는데 ㄷㅚㄴㅡㄴㄷㅔ
편한 ㅍㅕㄴㅎㅏㄴ
너무 ㄴㅓㅁㅜ
이게 ㅇㅣㄱㅔ
중에서 ㅈㅜㅇㅇㅔㅅㅓ
수 ㅅㅜ
좌석 ㅈㅘㅅㅓㄱ
저렇게 ㅈㅓㄹㅓㅎㄱㅔ
해결을 ㅎㅐㄱㅕㄹㅇㅡㄹ
해 ㅎㅐ
붙어 ㅂㅜㅌㅇㅓ
집집마다 ㅈㅣㅂㅈㅣㅂㅁㅏㄷㅏ
누구하고 ㄴㅜㄱㅜㅎㅏㄱㅗ
맏이 ㅁㅏㄷㅇㅣ
신고 ㅅㅣㄴㄱㅗ
웬 ㅇㅞㄴ
앉아서 ㅇㅏㄵㅇㅏㅅㅓ
일찍 ㅇㅣㄹㅉㅣㄱ
시험 ㅅㅣㅎㅓㅁ
꼭 ㄲㅗㄱ
좋겠어요 ㅈㅗㅎㄱㅔㅆㅇㅓㅇㅛ
영어 ㅇㅕㅇㅇㅓ
팔팔 ㅍㅏㄹㅍㅏㄹ
드세요 ㄷㅡㅅㅔㅇㅛ
아니야 ㅇㅏㄴㅣㅇㅑ
그만 ㄱㅡㅁㅏㄴ
가게 ㄱㅏㄱㅔ
보자기 ㅂㅗㅈㅏㄱㅣ
여덟 ㅇㅕㄷㅓㄼ
한번 ㅎㅏㄴㅂㅓㄴ
한국말을 ㅎㅏㄴㄱㅜㄱㅁㅏㄹㅇㅡㄹ
등록금에 ㄷㅡㅇㄹㅗㄱㄱㅡㅁㅇㅔ
없을까요 ㅇㅓㅄㅇㅡㄹㄲㅏㅇㅛ
했는지 ㅎㅐㅆㄴㅡㄴㅈㅣ
깨끗이 ㄲㅐㄲㅡㅅㅇㅣ
국민 ㄱㅜㄱㅁㅣㄴ
일 ㅇㅣㄹ
타고 ㅌㅏㄱㅗ
해도 ㅎㅐㄷㅗ
문 ㅁㅜㄴ
권하다 ㄱㅝㄴㅎㅏㄷㅏ
뒷일은 ㄷㅟㅅㅇㅣㄹㅇㅡㄴ
걷힌 ㄱㅓㄷㅎㅣㄴ
하실 ㅎㅏㅅㅣㄹ
들어요 ㄷㅡㄹㅇㅓㅇㅛ
이렇게 ㅇㅣㄹㅓㅎㄱㅔ
붙이세요 ㅂㅜㅌㅇㅣㅅㅔㅇㅛ
바람직하지 ㅂㅏㄹㅏㅁㅈㅣㄱㅎㅏㅈㅣ
다르다는 ㄷㅏㄹㅡㄷㅏㄴㅡㄴ
생각하고 ㅅㅐㅇㄱㅏㄱㅎㅏㄱㅗ
정도로 ㅈㅓㅇㄷㅗㄹㅗ
쏟아요 ㅆㅗㄷㅇㅏㅇㅛ
점 ㅈㅓㅁ
방에서 ㅂㅏㅇㅇㅔㅅㅓ
있도록 ㅇㅣㅆㄷㅗㄹㅗㄱ
실수하지 ㅅㅣㄹㅅㅜㅎㅏㅈㅣ
별일 ㅂㅕㄹㅇㅣㄹ
며칠 ㅁㅕㅊㅣㄹ
먹을걸 ㅁㅓㄱㅇㅡㄹㄱㅓㄹ
같이 ㄱㅏㅌㅇㅣ
여기까지 ㅇㅕㄱㅣㄲㅏㅈㅣ
안 ㅇㅏㄴ
짜요 ㅉㅏㅇㅛ
생각 ㅅㅐㅇㄱㅏㄱ
간식 ㄱㅏㄴㅅㅣㄱ
약국 ㅇㅑㄱㄱㅜㄱ
봐요 ㅂㅘㅇㅛ
퇴근 ㅌㅚㄱㅡㄴ
전통을 ㅈㅓㄴㅌㅗㅇㅇㅡㄹ
포함돼요 ㅍㅗㅎㅏㅁㄷㅙㅇㅛ
빨리 ㅃㅏㄹㄹㅣ
의견란에 ㅇㅢㄱㅕㄴㄹㅏㄴㅇㅔ
갈까 ㄱㅏㄹㄲㅏ
폭발 ㅍㅗㄱㅂㅏㄹ
두부 ㄷㅜㅂㅜ
와서 ㅇㅘㅅㅓ
따뜻하지요 ㄸㅏㄸㅡㅅㅎㅏㅈㅣㅇㅛ
좋을까요 ㅈㅗㅎㅇㅡㄹㄲㅏㅇㅛ
하는 ㅎㅏㄴㅡㄴ
꼬리 ㄲㅗㄹㅣ
이름이 ㅇㅣㄹㅡㅁㅇㅣ
계세요 ㄱㅖㅅㅔㅇㅛ
발등 ㅂㅏㄹㄷㅡㅇ
이해하기 ㅇㅣㅎㅐㅎㅏㄱㅣ
모두 ㅁㅗㄷㅜ
거야 ㄱㅓㅇㅑ
일은 ㅇㅣㄹㅇㅡㄴ
찍어야 ㅉㅣㄱㅇㅓㅇㅑ
빠졌네요 ㅃㅏㅈㅕㅆㄴㅔㅇㅛ
방송 ㅂㅏㅇㅅㅗㅇ
말해 ㅁㅏㄹㅎㅐ
화가 ㅎㅘㄱㅏ
너 ㄴㅓ
희망 ㅎㅢㅁㅏㅇ
위 ㅇㅟ
돈은 ㄷㅗㄴㅇㅡㄴ
주말에 ㅈㅜㅁㅏㄹㅇㅔ
좋은데 ㅈㅗㅎㅇㅡㄴㄷㅔ
제가 ㅈㅔㄱㅏ
끝났을걸 ㄲㅡㅌㄴㅏㅆㅇㅡㄹㄱㅓㄹ
김치 ㄱㅣㅁㅊㅣ
갚았다 ㄱㅏㅍㅇㅏㅆㄷㅏ
못하겠습니다 ㅁㅗㅅㅎㅏㄱㅔㅆㅅㅡㅂㄴㅣㄷㅏ
끓는데 ㄲㅡㅀㄴㅡㄴㄷㅔ
옷이라고 ㅇㅗㅅㅇㅣㄹㅏㄱㅗ
다섯 ㄷㅏㅅㅓㅅ
보니 ㅂㅗㄴㅣ
원만 ㅇㅝㄴㅁㅏㄴ
수리 ㅅㅜㄹㅣ
아버지와 ㅇㅏㅂㅓㅈㅣㅇㅘ
갔다 ㄱㅏㅆㄷㅏ
어디 ㅇㅓㄷㅣ
미리 ㅁㅣㄹㅣ
옛날 ㅇㅖㅅㄴㅏㄹ
있어요 ㅇㅣㅆㅇㅓㅇㅛ
접수 ㅈㅓㅂㅅㅜ
어떻게 ㅇㅓㄸㅓㅎㄱㅔ
그렇게 ㄱㅡㄹㅓㅎㄱㅔ
쉽지 ㅅㅟㅂㅈㅣ
책임이야 ㅊㅐㄱㅇㅣㅁㅇㅣㅇㅑ
주세요 ㅈㅜㅅㅔㅇㅛ
봤는데 ㅂㅘㅆㄴㅡㄴㄷㅔ
백 ㅂㅐㄱ
살이 ㅅㅏㄹㅇㅣ
의자 ㅇㅢㅈㅏ
가자 ㄱㅏㅈㅏ
밥 ㅂㅏㅂ
의견이 ㅇㅢㄱㅕㄴㅇㅣ
언제든지 ㅇㅓㄴㅈㅔㄷㅡㄴㅈㅣ
사진을 ㅅㅏㅈㅣㄴㅇㅡㄹ
해돋이 ㅎㅐㄷㅗㄷㅇㅣ
일본 ㅇㅣㄹㅂㅗㄴ
좋은 ㅈㅗㅎㅇㅡㄴ
뭔지 ㅁㅝㄴㅈㅣ
왔어요 ㅇㅘㅆㅇㅓㅇㅛ
직접 ㅈㅣㄱㅈㅓㅂ
없다 ㅇㅓㅄㄷㅏ
거 ㄱㅓ
중국 ㅈㅜㅇㄱㅜㄱ
저희 ㅈㅓㅎㅢ
사람이 ㅅㅏㄹㅏㅁㅇㅣ
진짜 ㅈㅣㄴㅉㅏ
찍으면 ㅉㅣㄱㅇㅡㅁㅕㄴ
먹어요 ㅁㅓㄱㅇㅓㅇㅛ
위해 ㅇㅟㅎㅐ
부엌에 ㅂㅜㅇㅓㅋㅇㅔ
오늘은 ㅇㅗㄴㅡㄹㅇㅡㄴ
겪다 ㄱㅕㄲㄷㅏ
친구 ㅊㅣㄴㄱㅜ
바꾸다 ㅂㅏㄲㅜㄷㅏ
급한 ㄱㅡㅂㅎㅏㄴ
왜 ㅇㅙ
않을 ㅇㅏㄶㅇㅡㄹ
분 ㅂㅜㄴ
닫아 ㄷㅏㄷㅇㅏ
내가 ㄴㅐㄱㅏ
갔지 ㄱㅏㅆㅈㅣ
국내선 ㄱㅜㄱㄴㅐㅅㅓㄴ
줄 ㅈㅜㄹ
시까지 ㅅㅣㄲㅏㅈㅣ
절대로 ㅈㅓㄹㄷㅐㄹㅗ
않으셨어요 ㅇㅏㄶㅇㅡㅅㅕㅆㅇㅓㅇㅛ
게 ㄱㅔ
나갔는데 ㄴㅏㄱㅏㅆㄴㅡㄴㄷㅔ
좋겠네요 ㅈㅗㅎㄱㅔㅆㄴㅔㅇㅛ
돼요 ㄷㅙㅇㅛ
언니 ㅇㅓㄴㄴㅣ
여권 ㅇㅕㄱㅝㄴ
더 ㄷㅓ
